143689 Brolin, James
250115 Cube, Ice
1149576 Tavira, José María de
1094133 Smolyaninov, Artur
890500 Parker, Nathaniel
63913 Baldwin, Daniel
686164 Linz, Alex D.
1168870 Todd, Tony
519943 Horan, James
400133 Gambon, Michael
155089 Bukowski, Charles
1222209 von Detten, Erik
1252051 White, Michael Jai
208904 Chow, Yun-Fat
968407 Remar, James
903864 Penner, Jonathan
22229 Allen, Woody
219036 Clooney, George
899445 Pearce, Guy
1133121 Sutherland, Donald
451123 Gross, Arye
1154885 Tergesen, Lee
22137 Allen, Tim
800481 Mongkolpisit, Pawalit
13832 Al Hammadin, Mazin Azri
190899 Cavanagh, Tom
907386 Peroulas, George
253762 Cusack, John
845735 Nielsen, Leslie
473673 Hanks, Tom
569089 Jones, Brandon Valley
631905 Kremko, Michael
393354 Furlong, Edward
349087 Facinelli, Peter
1289427 Zahn, Steve
1187785 Tusing, Jake
72695 Baron Cohen, Sacha
393993 Futterman, Dan
880976 Pagano, Vincent
672475 Leon, David
49211 Astin, John
740987 Martorana, Marc
75075 Barry, Neill
511364 Hodder, Kane
1177456 Travers, Bill
1296916 Zissis, Steve
556728 Jay-Z
852872 Norton, Edward
421904 Ginsburg, Steven
962428 Rebhorn, James
1162594 Thomsen, Ulrich
435598 Gore, Al
182177 Carrey, Jim
759774 McDonough, Neal
920110 Pine, Chris
15536 Albert, Colin
706387 Lynch, John
1278118 XL, Chino
1241376 Webber, Mark
19792 Ali, Muhammad
932151 Postlethwaite, Pete
771183 Mehta, Aalok
822955 Murray, Chad Michael
674311 Lescot, Avelino 'El Rico'
914575 Phifer, Mekhi
32838 Andrew, Robert
925922 Poelvoorde, Benoît
269252 Davis, Matthew
1045399 Schroder, Rick
261307 Dancy, Hugh
375126 Fonda, Henry
769125 Meaney, Colm
711813 Macht, Gabriel
1192154 Underwood, Jay
1028028 Sands, Julian
845735 Nielsen, Leslie
433562 Gooding Jr., Cuba
779710 Metzler, Jim
513359 Hogan, Hulk
88994 Bell, Tobin
781440 Michael, Douglas
95038 Ber, Josef
436309 Gorshin, Frank
333022 Eldard, Ron
3096 Abraham, F. Murray
8590 Affleck, Ben
813711 Moseley, Bill
